Id,Label,author_id,home_page,publications,interests,Faculty,Department ,citedby
0,Hossein Abouee Mehrizi,aEyXGPAAAAAJ,https://sites.google.com/view/haboueemehrizi,34,"Stochastic Modeling, Optimization, Analytics",Engineering,Management Sciences,341
1,Kate Larson,QK-c5esAAAAJ,,149,"Artificial Intelligence, Multiagent Systems",Mathematics,Computer Science,3021
2,Nancy Worth,IMYz6WFZ0DoC,https://uwaterloo.ca/geography-environmental-management/people-profiles/nancy-worth,37,"work, generations, social reproduction, inequalities, feminist theory",Environment,Geography and Environmental Management,918
3,Zahid A. Butt,wlkd9ykAAAAJ,,233,"Epidemiology, Public Health, Global Health, Syndemics",Health,Public Health Sciences,59666
4,Mohammad Javad Shafiee,ZdqUd0AAAAAJ,https://www.eng.uwaterloo.ca/~mjshafie/,122,"Edge AI, Computer Vision, Machine Learning, Deep Learning, Statistical Graphical Models",Engineering,Systems Design Engineering,1401
5,William Melek,c_oOg1YAAAAJ,http://www.mme.uwaterloo.ca/,161,"Robotics, Computational Intelligence, State Estimation",Engineering,Mechanical and Mechatronics Engineering,3441
6,Justin Wan,jaJlXfwAAAAJ,,73,Scientific Computing,Mathematics,Computer Science,1382
7,Zhou Wang,O0PjM4QAAAAJ,https://ece.uwaterloo.ca/~z70wang/,253,"image processing, video processing, image quality assessment, video quality assessment, video coding",Engineering,Electrical and Computer Engineering,78743
8,Jeff Orchard,cAfBytAAAAAJ,https://cs.uwaterloo.ca/~jorchard/,94,"computational neuroscience, image processing",Mathematics,Computer Science,1489
9,Igor Grossmann,akajO3QAAAAJ,http://uwaterloo.ca/wisdom-and-culture-lab/,116,"Wisdom, Experimental Philosophy, Cultural change, Culture and cognition, Affective science",Arts,Psychology,6677
10,Nasser Moheiddin Abukhdeir,8mLcWUsAAAAJ,http://chemeng.uwaterloo.ca/abukhdeir/,39,,Engineering,Chemical Engineering,502
11,Liqun Diao,uj2pCykAAAAJ,,14,"Statistics, Data Science, Statistical Learning, Biostatistics",Mathematics,Statistics and Actuarial Science,105
12,Behzad Moshiri,SmL7-6YAAAAJ,https://ece.ut.ac.ir/en/~moshiri,334,"Advanced Process Control, Sensor/Data Fusion, Mechatronics, Industrial Automation, Intelligent Transportation Systems",Engineering,Electrical and Computer Engineering,3306
13,Samir Elhedhli,kqJIAr8AAAAJ,http://www.eng.uwaterloo.ca/~elhedhli,63,"Large-scale optimization, Data analytics, Supply chain analytics",Engineering,Management Sciences,2415
14,Ravi Mazumdar,0ceJfDoAAAAJ,http://www.ece.uwaterloo.ca/~mazum,243,"Stochastic networks, wireless systems, stochastic analysis, applied probability, game theory",Engineering,Electrical and Computer Engineering,6894
15,Joel Blit,O4RMkk8AAAAJ,https://uwaterloo.ca/scholar/jblit,23,"Economics of Innovation, Economic Geography, Intellectual Property Rights, Artificial Intelligence",Arts,Economics,123
16,Helen Chen,Pqs4NSgAAAAJ,https://uwaterloo.ca/public-health-sciences/people-profiles/helen-chen,61,"health data analytics, data quality, healthcare decision support",Health,Public Health Sciences,1034
17,Jennifer Boger,w3nBJHsAAAAJ,https://uwaterloo.ca/systems-design-engineering/profile/jboger,150,"Artificial Intelligence, Assistive Technology, Aging, Transdisciplinarity, Ethics",Engineering,Systems Design Engineering,2887
18,Mark Smucker,BgiGGQQAAAAJ,https://www.marksmucker.com/,94,"Information Retrieval, Human Computer Interaction",Mathematics,Management Sciences,3370
19,Joyce Kim,5fMe1RYAAAAJ,,15,"Occupant Behavior, Building Energy, Machine Learning, Thermal Comfort, Demand Response",Engineering,Civil and Environmental Engineering,727
20,Ali Ayub,kyzvf0wAAAAJ,https://sites.google.com/view/aliayub/,25,"Robotics, Artificial Intelligence, Computer Vision, Incremental Learning, HRI",Engineering,Electrical and Computer Engineering,102
21,Rodney Smith,FjHIDkAAAAAJ,http://smithgroup.uwaterloo.ca/,33,Chemistry,Science,Chemistry,2797
22,Chengnian Sun,rwbI5qAAAAAJ,https://cs.uwaterloo.ca/~cnsun/,38,"Software Engineering, Programming Languages",Mathematics,Computer Science,2567
23,Mehrdad Pirnia,l4Ocvg4AAAAJ,http://www.mpirnia.com/,18,"Energy Optimization, Power System Operations, Stochastic Power System Models, Machine Learning for Optimization",Engineering,Management Sciences,213
24,Sirisha Rambhatla,EOSZeBMAAAAJ,https://sirisharambhatla.com/,22,"Machine Learning, Statistical Signal Processing, Optimization, AI for Healthcare",Engineering,Management Sciences,252
25,Arie Gurfinkel,WHTB3_MAAAAJ,http://ece.uwaterloo.ca/~agurfink,192,"Model Checking, Program Analysis, Verification",Engineering,Electrical and Computer Engineering,4029
26,John McPhee,boJMp7AAAAAJ,https://uwaterloo.ca/motion-research-group/,405,"Dynamics, model-based control, automotive, biomechatronics, sports engineering",Engineering,Systems Design Engineering,6295
27,Omar M. Ramahi,vheo2roAAAAJ,http://www.ece.uwaterloo.ca/~oramahi,483,,Engineering,Electrical and Computer Engineering,7483
28,Patricia Marino,Y9boIr0AAAAJ,http://patriciamarino.org/,56,"Ethics, Epistemology, Philosophy of Economics, Philosophy of Sex and Love",Arts,Philosophy,227
29,Oliver Schneider,dc2aKrEAAAAJ,http://oliverschneider.ca/,57,"Human-Computer Interaction, Haptics, Design, Computer Science",Engineering,Management Sciences,651
30,Vincent Gaudet,niKoLAYAAAAJ,https://ece.uwaterloo.ca/~vcgaudet/,178,"Circuits and systems, iterative decoding, LDPC codes, stochastic computing, Multiple-Valued Logic",Engineering,Electrical and Computer Engineering,7779
31,Urs Hengartner,FPSbtssAAAAJ,http://cs.uwaterloo.ca/~uhengart,97,"Security, Privacy",Mathematics,Computer Science,3899
32,Soo Jeon,1FWPce0AAAAJ,https://uwaterloo.ca/scholar/soojeon,86,"mechatronics, dynamic systems, control, instrumentation, robotics",Engineering,Mechanical and Mechatronics Engineering,1251
33,Stephen L. Smith,_gfwCNwAAAAJ,https://ece.uwaterloo.ca/~sl2smith/,122,"Robotics, Autonomous Systems, Systems and Control, Motion Planning",Engineering,Electrical and Computer Engineering,4143
34,Sibel Alumur Alev,8Li0OdIAAAAJ,,28,"Location modeling, Hub location, Supply chain design, Logistics, Optimization",Engineering,Management Sciences,3264
35,Randy Harris,9M7YZ7EAAAAJ,https://uwaterloo.ca/scholar/raha/,112,"Rhetoric, Linguistics, Cognitive Science, Artifical Intelligence, Voice Interaction Design",Arts,English Language and Literature,2066
36,Paul Thagard,1-i6trwAAAAJ,http://watarts.uwaterloo.ca/~pthagard/Biographies/pault.html,410,"Cognitive science, philosophy, philosophy of mind, philosophy of science, philosophy of medicine",Arts,Philosophy,34942
37,Nachiket Kapre,JxwwXHMAAAAJ,http://nachiket.github.io/,121,"Reconfigurable Computing, FPGAs, Spatial Processing, Parallel Processing",Engineering,Electrical and Computer Engineering,1973
38,Mohammed Kohandel,21CxRnMAAAAJ,http://www.math.uwaterloo.ca/~kohandel/,106,"Biological Physics, Mathematical Biology and Medicine, Cancer Modeling",Mathematics,Applied Mathematics,1878
39,Michael Wallace,qLMLzc8AAAAJ,https://mpwallace.github.io/,38,"Statistics, Biostatistics, Causal Inference, Dynamic Treatment Regimes",Mathematics,Statistics and Actuarial Science,476
40,John Zelek,CrdYsxEAAAAJ,,223,"computer vision, robotics, hap tics",Engineering,Systems Design Engineering,2587
41,Jian Zhao,Gkk_I94AAAAJ,,29,"Green Energy, Hydrogen and Fuel Cells, Porous Media, Energy Harvesting, Combustion",Mathematics,Computer Science,1065
42,Hans De Sterck,EbwLBr8AAAAJ,http://www.hansdesterck.net/,159,"Scientific Computing, Multigrid, Tensor Decomposition, Optimization, Data Science",Mathematics,Applied Mathematics,3196
43,Derek Schipper,yPpfoAcAAAAJ,http://dschipper.uwaterloo.ca/,32,"organic chemistry, conjugated materials synthesis",Science,Chemistry,1587
44,David Yevick,eMNK__gAAAAJ,http://www.science.uwaterloo.ca/~yevick/,280,"Optical Communications, Computational Physics",Science,Physics and Astronomy,5028
45,Daniel Vogel,Yi5nK1EAAAAJ,http://www.nonsequitoria.com/,113,"Human-Computer Interaction, Input Devices, Interaction Techniques, Large Displays",Mathematics,Computer Science,4823
46,Chrystopher L. Nehaniv,LAd9K5EAAAAJ,,409,"Algebra in Algorithms & Applications, Artificial Intelligence, Artificial Life, Complex Adaptive Systems, Cognitive Architecture",Engineering,Systems Design Engineering,9732
47,Chris Bauch,DmwSNy0AAAAJ,http://www.math.uwaterloo.ca/~cbauch,263,"infectious diseases, ecology, human-environment systems, machine learning, complex systems",Mathematics,Applied Mathematics,8854
48,Chengguo Weng,qJHMprkAAAAJ,http://www.chengguoweng.com/,58,"Quantitative Finance, Actuarial Science, Quantitative Risk Management, Portfolio Theory, Stochastic Optimization",Mathematics,Statistics and Actuarial Science,1168
49,Brian Tripp,OUMJw3oAAAAJ,https://uwaterloo.ca/systems-design-engineering/people-profiles/bryan-tripp,59,"Computational neuroscience, Vision",Engineering,Systems Design Engineering,316
50,Bin Ma,f-eL6DYAAAAJ,,178,"Computer Science, Bioinformatics, Mass Spectrometry, Proteomics, Algorithms",Mathematics,Computer Science,21289
51,Ben Feng,tGO2XIIAAAAJ,http://www.math.uwaterloo.ca/~mbfeng/,21,"Simulation Design and Analysis, Actuarial Science, Financial Engineering, Portfolio Optimization, Nonlinear Optimization",Mathematics,Statistics and Actuarial Science,245
52,Arash Arami,ZcmBowIAAAAJ,,70,"Neuromechanics, Movement Biomechanics, Human-machine Interaction, Assistive Robotics, Machine Learning",Engineering,Mechanical and Mechatronics Engineering,626
53,Andrew Doxey,iUQqmUYAAAAJ,http://doxey.uwaterloo.ca/,82,"Computational Biology, Bioinformatics, microbial genomics, molecular evolution, toxins",Science,Biology,2124
54,André Unger,D0ix3KsAAAAJ,,89,"Water Infrastructure Finance, Project Risk & Uncertainty, Computational Hydrology, Water Resources Management...",Mathematics,Earth and Environmental Sciences,1785
55,Amir Khajepour,TL84ll0AAAAJ,https://uwaterloo.ca/mvs-lab/,606,Professor and Canada Research Chair in Mechatronic Vehicle Systems,Engineering,Mechanical and Mechatronics Engineering,13201
56, ​Ali Ghodsi,WXbhp_4AAAAJ,https://uwaterloo.ca/data-analytics/,267,"Machine Learning, Deep Learning, NLP",Mathematics,Statistics and Actuarial Science,6389
57,Alexander Lanoszka,sxE_MeoAAAAJ,http://www.alexlanoszka.com/,40,"International Security, International Relations, European Security, NATO, War",Arts,Political Science,729
58,Shirley Tang,8SLi0t4AAAAJ,,75,"nanobiotechnology, portable and wearable devices, 3D printing",Science,Chemistry,6899
59,Qinqin Zhu,DXw3OhIAAAAJ,https://uwaterloo.ca/scholar/q72zhu,31,"Process Data Analytics, Statistical Process Monitoring and Fault Diagnosis, Machine Learning and Big Data, Optimization",Engineering,Chemical Engineering,267
60,Roger Melko,wGbkTUsAAAAJ,http://www.science.uwaterloo.ca/~rgmelko/,147,"Condensed Matter Theory, Quantum Information, Machine Learning",Science,Physics and Astronomy,9127
61,Christopher Fletcher,cDMIljwAAAAJ,https://uwaterloo.ca/scholar/c5fletch/,37,"Climate variability and change, climate modelling.",Arts,Geography and Environmental Management,1615
62,Evan Risko,ZDWO_fYAAAAJ,,150,,Arts,Psychology,6423
63,Peter Van Beek,MP_l6fsAAAAJ,,104,"Artificial Intelligence, constraint programming, search, satisfiability",Mathematics,Computer Science,7545
64,Bessma Momani,K0Wq4CQAAAAJ,https://uwaterloo.ca/scholar/bmomani/home,163,"Middle East Economy, IMF, Diversity",Arts,Political Science,1988
65,Kristina Llewellyn,HuStf3cAAAAJ,https://uwaterloo.ca/renison/people-profiles/kristina-r-llewellyn,56,"Oral History, Citizenship Education, Women's History, Global Citizenship, Teachers",Arts,Social Development Studies,509
